entry_id,repetition,line_id,abstraction_similarity,surface_similarity
E001,2,L077,0.39796612,0.34014468
E001,2,L078,0.26990945,0.27797075
E001,2,L081,0.35447332,0.32068768
E001,2,L082,0.29437373,0.21910757
E001,2,L083,0.6812835,0.60343104
E001,2,L084,0.27840846,0.20103011
E001,2,L085,0.35157303,0.29971268
E001,2,L086,0.14827218,0.27041464
E001,2,L087,0.21768972,0.30790901
E001,2,L088,0.36118532,0.29846775
E001,2,L091,0.2511027,0.30458055
E001,2,L092,0.32209342,0.25333286
E001,2,L093,0.34201899,0.28557554
E001,2,L094,0.25461559,0.23220933
E001,2,L095,0.25950589,0.31616956
E001,2,L096,0.28970931,0.34389678
E001,2,L097,0.33639769,0.21325719
E001,2,L098,0.20575094,0.29495853
E001,2,L101,0.39219807,0.32340237
E001,2,L102,0.62688362,0.28345473
E001,2,L103,0.30865778,0.24289778
E001,2,L104,0.2903842,0.27299724
E001,2,L105,0.4310646,0.31184876
E001,2,L106,0.39583543,0.30306674
E001,2,L107,0.27167927,0.24965271
E001,2,L108,0.42148072,0.29355618
E001,2,L111,0.1971719,0.2115902
E001,2,L112,0.28667622,0.23169912
E001,2,L113,0.30435126,0.20102137
E001,2,L114,0.25801321,0.27690999
E001,2,L115,0.27770506,0.24384354
E001,2,L116,0.29105908,0.26881592
E001,2,L117,0.25575231,0.17390531
E001,2,L118,0.39024619,0.28153138
E001,3,L001,0.72912379,0.46516942
E001,3,L002,0.65456839,0.40805609
E001,3,L003,0.61232257,0.40945118
E001,3,L004,0.62572384,0.23942075
E001,3,L005,0.58933061,0.45033555
E001,3,L006,0.39222511,0.39175764
E001,3,L007,0.34977828,0.25863902
E001,3,L008,0.52371649,0.33863505
E001,3,L011,0.33805733,0.22235368
E001,3,L012,0.42870139,0.24037461
E001,3,L013,0.28999762,0.18839022
E001,3,L014,0.4262354,0.25336987
E001,3,L015,0.38282603,0.20238103
E001,3,L016,0.27082116,0.27046326
E001,3,L017,0.23381023,0.16582131
E001,3,L018,0.3232778,0.40796152
E001,3,L021,0.31209757,0.18881851
E001,3,L022,0.25748514,0.23476122
E001,3,L023,0.26747278,0.28718779
E001,3,L024,0.35771682,0.24724279
E001,3,L025,0.31762482,0.30763665
E001,3,L026,0.2015464,0.25253314
E001,3,L027,0.25637614,0.23321607
E001,3,L028,0.14746027,0.27622327
E001,3,L031,0.30965135,0.2153315
E001,3,L032,0.32347318,0.23526478
E001,3,L033,0.26119844,0.16727174
E001,3,L034,0.23360196,0.26989542
E001,3,L035,0.34672896,0.26087715
E001,3,L036,0.35239559,0.27671936
E001,3,L037,0.31419594,0.27918412
E001,3,L038,0.27836178,0.31971013
E001,3,L041,0.26274407,0.26400375
E001,3,L042,0.35883566,0.24984217
E001,3,L043,0.38946177,0.27873331
E001,3,L044,0.2156265,0.28449379
E001,3,L045,0.38384712,0.27583983
E001,3,L046,0.27588938,0.22937798
E001,3,L047,0.3992025,0.25291096
E001,3,L048,0.30407997,0.19655806
E001,3,L051,0.29801946,0.24377809
E001,3,L052,0.33502141,0.22482633
E001,3,L053,0.30909643,0.27397873
E001,3,L054,0.37438283,0.15929549
E001,3,L055,0.36786116,0.30084793
E001,3,L056,0.27383587,0.22654205
E001,3,L057,0.32626165,0.30358833
E001,3,L058,0.35225412,0.2878302
E001,3,L061,0.32587907,0.24388239
E001,3,L062,0.28245163,0.25765464
E001,3,L063,0.36526217,0.24772928
E001,3,L064,0.44613573,0.30877116
E001,3,L065,0.32203105,0.27096572
E001,3,L066,0.38826079,0.22429591
E001,3,L067,0.26185289,0.25222142
E001,3,L068,0.41825186,0.24576504
E001,3,L071,0.37369779,0.29328073
E001,3,L072,0.30473886,0.19540049
E001,3,L073,0.25162495,0.24567274
E001,3,L074,0.23130443,0.18083613
E001,3,L075,0.39388443,0.3240494
E001,3,L076,0.42858317,0.20750073
E001,3,L077,0.47823804,0.34014468
E001,3,L078,0.34568559,0.27797075
E001,3,L081,0.30772904,0.32068768
E001,3,L082,0.25282356,0.21910757
E001,3,L083,0.73544551,0.60343104
E001,3,L084,0.29273452,0.20103011
E001,3,L085,0.33379853,0.29971268
E001,3,L086,0.1586387,0.27041464
E001,3,L087,0.24199187,0.30790901
E001,3,L088,0.31739085,0.29846775
E001,3,L091,0.36516865,0.30458055
E001,3,L092,0.40830639,0.25333286
E001,3,L093,0.29767779,0.28557554
E001,3,L094,0.25166751,0.23220933
E001,3,L095,0.40146994,0.31616956
E001,3,L096,0.36332977,0.34389678
E001,3,L097,0.397881,0.21325719
E001,3,L098,0.168893,0.29495853
E001,3,L101,0.45642131,0.32340237
E001,3,L102,0.67227799,0.28345473
E001,3,L103,0.38661646,0.24289778
E001,3,L104,0.29031514,0.27299724
E001,3,L105,0.4666666,0.31184876
E001,3,L106,0.43859607,0.30306674
E001,3,L107,0.37139738,0.24965271
E001,3,L108,0.36083414,0.29355618
E001,3,L111,0.16408603,0.2115902
E001,3,L112,0.26198194,0.23169912
E001,3,L113,0.33610225,0.20102137
E001,3,L114,0.28494398,0.27690999
E001,3,L115,0.31179607,0.24384354
E001,3,L116,0.32717025,0.26881592
E001,3,L117,0.33988673,0.17390531
E001,3,L118,0.36010803,0.28153138
E002,1,L001,0.37481731,0.26433557
E002,1,L002,0.40918317,0.31740977
E002,1,L003,0.35174172,0.21647973
E002,1,L004,0.33346826,0.21412166
E002,1,L005,0.32714499,0.37536913
E002,1,L006,0.32585483,0.34086445
E002,1,L007,0.27274409,0.17546218
E002,1,L008,0.35391192,0.40767597
E002,1,L011,0.32802448,0.30286817
E002,1,L012,0.36814716,0.30736648
E002,1,L013,0.433903,0.25660457
E002,1,L014,0.49814276,0.35131283
E002,1,L015,0.38486133,0.27599625
E002,1,L016,0.22853652,0.16944748
E002,1,L017,0.36021644,0.13209602
E002,1,L018,0.27689022,0.24387055
E002,1,L021,0.28644848,0.26650185
E002,1,L022,0.32894819,0.2493946
E002,1,L023,0.37467245,0.14223019
E002,1,L024,0.24973931,0.47453213
E002,1,L025,0.38918204,0.4006767
E002,1,L026,0.2629176,0.22531051
E002,1,L027,0.32571484,0.34640026
E002,1,L028,0.22833325,0.33290088
E002,1,L031,0.30975802,0.20648658
E002,1,L032,0.3291473,0.39890389
E002,1,L033,0.38168908,0.15610312
E002,1,L034,0.30966791,0.27589457
E002,1,L035,0.32048834,0.30974656
E002,1,L036,0.35460955,0.2380612
E002,1,L037,0.28039512,0.18023903
E002,1,L038,0.20080453,0.27682093
E002,1,L041,0.26238157,0.31420746
E002,1,L042,0.20003217,0.25051549
E002,1,L043,0.35469529,0.22126685
E002,1,L044,0.2016927,0.1996393
E002,1,L045,0.26170159,0.24440048
E002,1,L046,0.21171088,0.29617205
E002,1,L047,0.29767215,0.44199359
E002,1,L048,0.39486302,0.26354629
E002,1,L051,0.24900008,0.2280605
E002,1,L052,0.36129202,0.20088501
E002,1,L053,0.1986218,0.37860239
E002,1,L054,0.39551112,0.25582419
E002,1,L055,0.33518385,0.21699724
E002,1,L056,0.1237141,0.18343477
E002,1,L057,0.29536919,0.26333353
E002,1,L058,0.30209986,0.20489363
E002,1,L061,0.20918747,0.15255448
E002,1,L062,0.2626324,0.2422385
E002,1,L063,0.24703353,0.16055013
E002,1,L064,0.40154844,0.35477783
E002,1,L065,0.2760633,0.29820877
E002,1,L066,0.29747933,0.20276208
E002,1,L067,0.2861627,0.15738668
E002,1,L068,0.29392019,0.16451575
E002,1,L071,0.30016092,0.31770129
E002,1,L072,0.30457122,0.15500313
E002,1,L073,0.17649262,0.20773089
E002,1,L074,0.2795032,0.21420544
E002,1,L075,0.35254737,0.30349209
E002,1,L076,0.27659489,0.20657688
E002,1,L077,0.37295928,0.2865621
E002,1,L078,0.32755824,0.29678034
E002,1,L081,0.26763426,0.23443097
E002,1,L082,0.35031127,0.32937063
E002,1,L083,0.3091493,0.25868578
E002,1,L084,0.26269318,0.23607764
E002,1,L085,0.44076827,0.18450631
E002,1,L086,0.18591395,0.29488232
E002,1,L087,0.28497229,0.28955144
E002,1,L088,0.28369501,0.24144182
E002,1,L091,0.42835557,0.35666864
E002,1,L092,0.30304084,0.39747815
E002,1,L093,0.20417465,0.26837794
E002,1,L094,0.16662799,0.25447149
E002,1,L095,0.35245157,0.36350175
E002,1,L096,0.21018952,0.37447587
E002,1,L097,0.42696579,0.32923835
E002,1,L098,0.16102773,0.34693987
E002,1,L101,0.46911977,0.32990119
E002,1,L102,0.36768642,0.20960668
E002,1,L103,0.34749787,0.28172923
E002,1,L104,0.34227551,0.24484161
E002,1,L105,0.3751278,0.22266731
E002,1,L106,0.38512758,0.34063454
